drug_id,protein_id,protein_name,protein_title,drug_name
DB09237,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Levamlodipine
DB11327,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Dipyrithione
DB14649,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Dexamethasone acetate
DB00157,P37059,Estradiol 17-beta-dehydrogenase 2,DHB2_HUMAN,NADH
DB13952,P37059,Estradiol 17-beta-dehydrogenase 2,DHB2_HUMAN,Estradiol acetate
DB13953,P37059,Estradiol 17-beta-dehydrogenase 2,DHB2_HUMAN,Estradiol benzoate
DB13954,P37059,Estradiol 17-beta-dehydrogenase 2,DHB2_HUMAN,Estradiol cypionate
DB13955,P37059,Estradiol 17-beta-dehydrogenase 2,DHB2_HUMAN,Estradiol dienanthate
DB13956,P37059,Estradiol 17-beta-dehydrogenase 2,DHB2_HUMAN,Estradiol valerate
DB00157,Q13423,"NAD(P) transhydrogenase, mitochondrial",NNTM_HUMAN,NADH
DB01763,Q13423,"NAD(P) transhydrogenase, mitochondrial",NNTM_HUMAN,7-thionicotinamide-adenine-dinucleotide phosphate
DB03461,Q13423,"NAD(P) transhydrogenase, mitochondrial",NNTM_HUMAN,Nicotinamide adenine dinucleotide phosphate
DB09092,Q13423,"NAD(P) transhydrogenase, mitochondrial",NNTM_HUMAN,Xanthinol
DB00157,P11766,Alcohol dehydrogenase class-3,ADHX_HUMAN,NADH
DB03017,P11766,Alcohol dehydrogenase class-3,ADHX_HUMAN,Lauric acid
DB03704,P11766,Alcohol dehydrogenase class-3,ADHX_HUMAN,12-Hydroxydodecanoic Acid
DB04153,P11766,Alcohol dehydrogenase class-3,ADHX_HUMAN,S-Hydroxymethyl Glutathione
DB00116,P48728,"Aminomethyltransferase, mitochondrial",GCST_HUMAN,Tetrahydrofolic acid
DB00157,P48728,"Aminomethyltransferase, mitochondrial",GCST_HUMAN,NADH
DB04789,P48728,"Aminomethyltransferase, mitochondrial",GCST_HUMAN,5-methyltetrahydrofolic acid
DB00157,P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A_HUMAN,NADH
DB06757,P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A_HUMAN,Manganese
DB09092,P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A_HUMAN,Xanthinol
DB09130,P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A_HUMAN,Copper
DB00381,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Amlodipine
DB00568,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Cinnarizine
DB00617,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Paramethadione
DB00622,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Nicardipine
DB00909,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Zonisamide
DB01118,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Amiodarone
DB01388,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Mibefradil
DB04841,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Flunarizine
DB06152,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Nylidrin
DB06712,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Nilvadipine
DB09061,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Cannabidiol
DB09235,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Efonidipine
DB09238,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Manidipine
DB14009,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Medical Cannabis
DB14011,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Nabiximols
DB00193,P30542,Adenosine receptor A1,AA1R_HUMAN,Tramadol
DB00201,P30542,Adenosine receptor A1,AA1R_HUMAN,Caffeine
DB00277,P30542,Adenosine receptor A1,AA1R_HUMAN,Theophylline
DB00555,P30542,Adenosine receptor A1,AA1R_HUMAN,Lamotrigine
DB00640,P30542,Adenosine receptor A1,AA1R_HUMAN,Adenosine
DB00651,P30542,Adenosine receptor A1,AA1R_HUMAN,Dyphylline
DB00806,P30542,Adenosine receptor A1,AA1R_HUMAN,Pentoxifylline
DB00824,P30542,Adenosine receptor A1,AA1R_HUMAN,Enprofylline
DB00996,P30542,Adenosine receptor A1,AA1R_HUMAN,Gabapentin
DB01223,P30542,Adenosine receptor A1,AA1R_HUMAN,Aminophylline
DB01303,P30542,Adenosine receptor A1,AA1R_HUMAN,Oxtriphylline
DB01412,P30542,Adenosine receptor A1,AA1R_HUMAN,Theobromine
DB04932,P30542,Adenosine receptor A1,AA1R_HUMAN,Defibrotide
DB04954,P30542,Adenosine receptor A1,AA1R_HUMAN,Tecadenoson
DB06471,P30542,Adenosine receptor A1,AA1R_HUMAN,Naxifylline
DB09061,P30542,Adenosine receptor A1,AA1R_HUMAN,Cannabidiol
DB11757,P30542,Adenosine receptor A1,AA1R_HUMAN,Istradefylline
DB12569,P30542,Adenosine receptor A1,AA1R_HUMAN,Tonapofylline
DB12670,P30542,Adenosine receptor A1,AA1R_HUMAN,Rolofylline
DB00171,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,ATP
DB00619,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,Imatinib
DB01254,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,Dasatinib
DB03878,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide
DB04868,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,Nilotinib
DB05184,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,XL228
DB06616,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,Bosutinib
DB07831,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,"2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE"
DB08043,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA
DB08231,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,Myristic acid
DB08339,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,PD-166326
DB08350,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,"5-[3-(2-METHOXYPHENYL)-1H-PYRROLO[2,3-B]PYRIDIN-5-YL]-N,N-DIMETHYLPYRIDINE-3-CARBOXAMIDE"
DB08583,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,"2-amino-5-[3-(1-ethyl-1H-pyrazol-5-yl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-N,N-dimethylbenzamide"
DB08896,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,Regorafenib
DB08901,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,Ponatinib
DB12010,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,Fostamatinib
DB12267,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,Brigatinib
DB12323,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,Radotinib
DB12597,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,Asciminib
DB14989,P00519,Tyrosine-protein kinase ABL1,ABL1_HUMAN,Umbralisib
DB00043,P12319,High affinity immunoglobulin epsilon receptor subunit alpha,FCERA_HUMAN,Omalizumab
DB00895,P12319,High affinity immunoglobulin epsilon receptor subunit alpha,FCERA_HUMAN,Benzylpenicilloyl polylysine
DB05797,P12319,High affinity immunoglobulin epsilon receptor subunit alpha,FCERA_HUMAN,TNX-901
DB00055,P00451,Coagulation factor VIII,FA8_HUMAN,Drotrecogin alfa
DB00100,P00451,Coagulation factor VIII,FA8_HUMAN,Coagulation Factor IX (Recombinant)
DB06050,P00451,Coagulation factor VIII,FA8_HUMAN,TB-402
DB11300,P00451,Coagulation factor VIII,FA8_HUMAN,Thrombin
DB11312,P00451,Coagulation factor VIII,FA8_HUMAN,Protein C
DB11571,P00451,Coagulation factor VIII,FA8_HUMAN,Human thrombin
DB11572,P00451,Coagulation factor VIII,FA8_HUMAN,Thrombin alfa
DB12872,P00451,Coagulation factor VIII,FA8_HUMAN,Vonicog alfa
DB13133,P00451,Coagulation factor VIII,FA8_HUMAN,Von Willebrand factor human
DB13151,P00451,Coagulation factor VIII,FA8_HUMAN,Anti-inhibitor coagulant complex
DB13152,P00451,Coagulation factor VIII,FA8_HUMAN,Coagulation Factor IX Human
DB13933,P00451,Coagulation factor VIII,FA8_HUMAN,Nonacog beta pegol
DB14700,P00451,Coagulation factor VIII,FA8_HUMAN,Damoctocog alfa pegol
DB16007,P00451,Coagulation factor VIII,FA8_HUMAN,Rurioctocog alfa pegol
DB00154,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Dihomo-gamma-linolenic acid
DB00159,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Icosapent
DB00244,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Mesalazine
DB00316,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Acetaminophen
DB00328,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Indomethacin
DB00350,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Minoxidil
DB00461,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Nabumetone
DB00465,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Ketorolac
DB00469,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Tenoxicam
DB00500,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Tolmetin
DB00554,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Piroxicam
DB00573,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Fenoprofen
DB00586,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Diclofenac
DB00605,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Sulindac
DB00711,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Diethylcarbamazine
DB00712,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Flurbiprofen
DB00749,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Etodolac
DB00784,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Mefenamic acid
DB00788,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Naproxen
DB00795,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Sulfasalazine
DB00812,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Phenylbutazone
DB00814,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Meloxicam
DB00821,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Carprofen
DB00861,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Diflunisal
DB00870,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Suprofen
DB00936,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Salicylic acid
DB00939,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Meclofenamic acid
DB00945,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Acetylsalicylic acid
DB00963,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Bromfenac
DB00991,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Oxaprozin
DB01009,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Ketoprofen
DB01014,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Balsalazide
DB01050,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Ibuprofen
DB01283,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Lumiracoxib
DB01397,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Magnesium salicylate
DB01399,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Salsalate
DB01401,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Choline magnesium trisalicylate
DB01419,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Antrafenine
DB01435,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Antipyrine
DB01600,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Tiaprofenic acid
DB01837,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,O-acetyl-L-serine
DB01892,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Hyperforin
DB02047,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,(+)-2-(4-biphenyl)propionic acid
DB02110,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Protoporphyrin Ix Containing Co
DB02198,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,2-Bromoacetyl Group
DB02266,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Flufenamic acid
DB02379,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Beta-D-Glucose
DB02709,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Resveratrol
DB02773,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,(3-Chloro-4-Propoxy-Phenyl)-Acetic Acid
DB03667,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Acetic Acid Salicyloyl-Amino-Ester
DB03752,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid
DB03753,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Flurbiprofen Methyl Ester
DB03783,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Phenacetin
DB04552,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Niflumic acid
DB04557,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Arachidonic Acid
DB04817,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Metamizole
DB06725,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Lornoxicam
DB06736,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Aceclofenac
DB06802,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Nepafenac
DB07981,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1R)-1-(hydroxymethyl)propyl]acetamide
DB07983,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID
DB07984,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1S)-1-(hydroxymethyl)propyl]acetamide
DB08814,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Triflusal
DB09061,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Cannabidiol
DB09212,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Loxoprofen
DB09213,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Dexibuprofen
DB09214,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Dexketoprofen
DB09215,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Droxicam
DB09216,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Tolfenamic acid
DB09288,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Propacetamol
DB09295,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Talniflumate
DB11071,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Phenyl salicylate
DB11079,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Trolamine salicylate
DB11201,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Menthyl salicylate
DB11323,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Glycol salicylate
DB12445,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Nitroaspirin
DB13346,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Bufexamac
DB13501,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Bendazac
DB13783,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Acemetacin
DB14009,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Medical Cannabis
DB14011,P23219,Prostaglandin G/H synthase 1,PGH1_HUMAN,Nabiximols
DB00171,P35626,Beta-adrenergic receptor kinase 2,ARBK2_HUMAN,ATP
DB00256,P0A7V8,30S ribosomal protein S4,RS4_ECOLI,Lymecycline
DB00453,P0A7V8,30S ribosomal protein S4,RS4_ECOLI,Clomocycline
DB00595,P0A7V8,30S ribosomal protein S4,RS4_ECOLI,Oxytetracycline
DB01017,P0A7V8,30S ribosomal protein S4,RS4_ECOLI,Minocycline
DB12329,P0A7V8,30S ribosomal protein S4,RS4_ECOLI,Eravacycline
DB00246,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Ziprasidone
DB00248,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Cabergoline
DB00334,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Olanzapine
DB00353,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Methylergometrine
DB00363,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Clozapine
DB00397,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Phenylpropanolamine
DB00408,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Loxapine
DB00477,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Chlorpromazine
DB00502,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Haloperidol
DB00508,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Triflupromazine
DB00543,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Amoxapine
DB00589,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Lisuride
DB00623,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Fluphenazine
DB00679,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Thioridazine
DB00714,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Apomorphine
DB00734,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Risperidone
DB00800,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Fenoldopam
DB00805,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Minaprine
DB00850,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Perphenazine
DB00875,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Flupentixol
DB00988,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Dopamine
DB01038,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Carphenazine
DB01186,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Pergolide
DB01200,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Bromocriptine
DB01224,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Quetiapine
DB01235,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Levodopa
DB01238,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Aripiprazole
DB01239,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Chlorprothixene
DB01267,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Paliperidone
DB01403,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Methotrimeprazine
DB01608,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Periciazine
DB01614,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Acepromazine
DB01621,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Pipotiazine
DB01622,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Thioproperazine
DB01623,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Thiothixene
DB01624,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Zuclopenthixol
DB04946,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Iloperidone
DB05271,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Rotigotine
DB06077,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Lumateperone
DB06216,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Asenapine
DB09286,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Pipamperone
DB12093,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Tetrahydropalmatine
DB12890,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Dihydrexidine
DB14185,P21728,D(1A) dopamine receptor,DRD1_HUMAN,Aripiprazole lauroxil
DB01099,P12461,Thymidylate synthase,TYSY_CANAL,Flucytosine
DB00398,P35916,Vascular endothelial growth factor receptor 3,VGFR3_HUMAN,Sorafenib
